ticker_symbol,day_date,stock_performance,prev_avg_sentiment_score
AAPL,2015-12-09,decline,-0.5688426573572465
AAPL,2015-12-10,growth,-0.6070451198965512
AAPL,2015-12-11,decline,-0.6146856119833797
AAPL,2015-12-14,decline,-0.5655399455151088
AAPL,2015-12-15,decline,-0.6309727508307509
AAPL,2015-12-17,decline,-0.6324947925103707
AAPL,2015-12-18,decline,-0.5528346411185596
AAPL,2015-12-21,growth,-0.5498711000396406
AAPL,2015-12-22,decline,-0.5365440937951
AAPL,2015-12-23,growth,-0.5909395979053673
AAPL,2015-12-24,decline,-0.5594125595681873
AAPL,2015-12-28,decline,-0.635098007429077
AAPL,2015-12-29,growth,-0.5519305703607765
AAPL,2015-12-30,decline,-0.5207596659389717
AAPL,2015-12-31,decline,-0.5990941836611673
AAPL,2016-01-04,growth,-0.6289253880702307
AAPL,2016-01-05,decline,-0.5293947225759837
AAPL,2016-01-06,decline,-0.5988408954891228
AAPL,2016-01-07,decline,-0.6150599557480583
AAPL,2016-01-08,growth,-0.6686491749476139
AAPL,2016-01-11,growth,-0.4993411077619361
AAPL,2016-01-12,growth,-0.5915436620749308
AAPL,2016-01-13,decline,-0.5501463788095862
AAPL,2016-01-14,growth,-0.5554418658764761
AAPL,2016-01-15,decline,-0.591632732063107
AAPL,2016-01-19,decline,-0.5642853772755966
AAPL,2016-01-20,growth,-0.6321293670783
AAPL,2016-01-21,decline,-0.5946932002067566
AAPL,2016-01-22,growth,-0.574334895127144
AAPL,2016-01-25,decline,-0.5558568478268098
AAPL,2016-01-26,growth,-0.615711643085306
AAPL,2016-01-27,decline,-0.580923863138103
AAPL,2016-01-28,growth,-0.618604519673037
AAPL,2016-01-29,growth,-0.5956772266593698
AAPL,2016-02-01,decline,-0.5424657840633866
AAPL,2016-02-02,decline,-0.5092656758451273
AAPL,2016-02-03,growth,-0.5041475346161113
AAPL,2016-02-04,growth,-0.4678201598982359
AAPL,2016-02-05,decline,-0.5622320024455215
AAPL,2016-02-08,growth,-0.5181851176892297
AAPL,2016-02-09,decline,-0.4851988492245169
AAPL,2016-02-10,decline,-0.5617712679988062
AAPL,2016-02-11,decline,-0.5175094398889649
AAPL,2016-02-12,growth,-0.566052680427616
AAPL,2016-02-16,growth,-0.619825474571132
AAPL,2016-02-17,growth,-0.579770413480689
AAPL,2016-02-18,decline,-0.6227221787272993
AAPL,2016-02-19,decline,-0.6504195960063806
AAPL,2016-02-22,growth,-0.6633220994098676
AAPL,2016-02-23,decline,-0.6550039695875626
AAPL,2016-02-24,growth,-0.654484566992828
AAPL,2016-02-25,growth,-0.6056989074636934
AAPL,2016-02-26,growth,-0.7359230004172275
AAPL,2016-02-29,decline,-0.6072341460511431
AAPL,2016-03-01,growth,-0.5198884122009311
AAPL,2016-03-02,growth,-0.6143988405294389
AAPL,2016-03-03,growth,-0.6508976201131473
AAPL,2016-03-04,growth,-0.5638674709756496
AAPL,2016-03-07,decline,-0.7295644219481049
